Date,FT,Season,Time,Transect,Plants,Plants_name,Plants' status,Pollinators,Scientific_name,Scientificn,Sub species,Insect order,PN,Activity,,,
18-04-2022,IDH,Pre-monsoon,06:55,1,Oxalis debilis,O. debilis,Native,Small Grass Yellow,Eurema brigitta,E. brigitta,,Lepidoptera,1,Nectaring,,,
18-04-2022,IDH,Pre-monsoon,06:55,1,Ageratum conyzoides,A. conyzoides,Invasive,Pea Blue,Lampides boeticus,L. boeticus,,Lepidoptera,1,Sitting,,,
18-04-2022,IDH,Pre-monsoon,07:35,1,Citrus limon,C. limon,Native,Apis cerana indica,Apis cerana indica,A. cerana,,Hymenoptera,2,Nectaring,,,
18-04-2022,IDH,Pre-monsoon,07:35,1,Oxalis corniculata,O. corniculata,Native,Indian Cabbage White,Pieris canidia,P. canidia,,Lepidoptera,1,Basking,,,
18-04-2022,IDH,Pre-monsoon,07:35,1,Ageratum conyzoides,A. conyzoides,Invasive,Himalayan Yellow Coster,Acraea issoria,A. issoria,Acraea issoria issoria,Lepidoptera,1,Basking,,,
18-04-2022,IDH,Pre-monsoon,08:02,3,Bidens pilosa,B. pilosa,Invasive,Himalayan Purple Sapphire,Heliophorus epicles,H. epicles,,Lepidoptera,1,Nectaring,,,
18-04-2022,IDH,Pre-monsoon,08:02,3,Ageratum conyzoides,A. conyzoides,Invasive,Himalayan Yellow Coster,Acraea issoria,A. issoria,,Lepidoptera,1,Nectaring,,,
18-04-2022,IDH,Pre-monsoon,08:45,3,Ageratum conyzoides,A. conyzoides,Invasive,Eastern Striped Albatross,Appias olferna,A. olferna,,Lepidoptera,1,Nectaring,,,
18-04-2022,IDH,Pre-monsoon,08:45,3,Persicaria decipiens,P. decipiens,Native,Apis dorsata,Apis dorsata,A. dorsata,,Hymenoptera,2,Nectaring,,,
18-04-2022,IDH,Pre-monsoon,09:30,3,Bidens pilosa,B. pilosa,Invasive,Eastern Striped Albatross,Appias olferna,A. olferna,,Lepidoptera,1,Nectaring,,,
18-04-2022,IDH,Pre-monsoon,09:30,3,Oxalis debilis,O. debilis,Native,Common Grass Yellow,Eurema hecabe,E. hecabe,,Lepidoptera,1,Nectaring,,,
18-04-2022,IDH,Pre-monsoon,02:18,2,Ageratum conyzoides,A. conyzoides,Invasive,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,5,Hovering,,,
19-04-2022,PF,Pre-monsoon,10:50,1,Oxalis debilis,O. debilis,Native,Eristalis sp.,Eristalis sp.,Eristalis sp.,,Diptera,3,Nectaring,,,
19-04-2022,PF,Pre-monsoon,10:50,1,Oxalis debilis,O. debilis,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,2,Nectaring,,,
19-04-2022,PF,Pre-monsoon,10:50,1,Persicaria chinensis,P. chinensis,Native,Punchinello,Zemeros flegyas,Z. flegyas,,Lepidoptera,1,Nectaring,,,
19-04-2022,PF,Pre-monsoon,10:50,1,Persicaria decipiens,P. decipiens,Native,Punchinello,Zemeros flegyas,Z. flegyas,,Lepidoptera,2,Nectaring,,,
19-04-2022,PF,Pre-monsoon,11:00,2,Persicaria decipiens,P. decipiens,Native,Episyrphus sp.,Episyrphus sp.,Episyrphus sp.,,Diptera,6,Nectaring,,,
19-04-2022,PF,Pre-monsoon,11:00,2,Mussaenda roxburghii,M. roxburghii,Native,Great Orange Tip,Hebomoia glaucippe,H. glaucippe,,Lepidoptera,2,Nectaring,,,
19-04-2022,PF,Pre-monsoon,11:00,2,Mussaenda roxburghii,M. roxburghii,Native,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,1,Nectaring,,,
19-04-2022,PF,Pre-monsoon,11:30,4,Mussaenda roxburghii,M. roxburghii,Native,Great Orange Tip,Hebomoia glaucippe,H. glaucippe,,Lepidoptera,2,Nectaring,,,
19-04-2022,PF,Pre-monsoon,11:30,4,Mussaenda roxburghii,M. roxburghii,Native,Yellow Orange Tip,Ixias pyrene,I. pyrene,,Lepidoptera,1,Nectaring,,,
19-04-2022,PF,Pre-monsoon,11:30,4,,,,Large Cabbage White,Pieris brassicae,P. brassicae,,Lepidoptera,1,Flying,,,
19-04-2022,PF,Pre-monsoon,11:30,4,,,,Chestnut Tiger,Parantica sita,P. sita,,Lepidoptera,1,Flying,,,
19-04-2022,PF,Pre-monsoon,12:00,6,,,,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,1,Flying,,,
19-04-2022,PF,Pre-monsoon,12:00,6,,,,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,1,Flying,,,
20-04-2022,IDH,Pre-monsoon,09:30,13,Chromolaena odorata,C. odorata,Invasive,Punchinello,Zemeros flegyas,Z. flegyas,,Lepidoptera,2,Nectaring,,,
20-04-2022,IDH,Pre-monsoon,09:48,13,Bidens pilosa,B. pilosa,Invasive,Pale Wanderer,Pareronia avatar,P. avatar,,Lepidoptera,1,Nectaring,,,
